#dataset_id	dataset_total_cell_count	collection_doi	collection_doi_label	dataset_title
4eb29386-de81-452f-b3c0-e00844e8c7fd	10888	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	Spatial transcriptomics in mouse: Puck_191112_05
78d59e4a-82eb-4a61-a1dc-da974d7ea54b	10250	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	Spatial transcriptomics in mouse: Puck_191112_08
add5eb84-5fc9-4f01-982e-a346dd42ee82	12906	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	Spatial transcriptomics in mouse: Puck_191109_20
b020294c-ab82-4547-b5a7-63d8ffa575ed	15161	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	Spatial transcriptomics in mouse: Puck_191112_13
d7476ae2-e320-4703-8304-da5c42627e71	565	10.1038/s41591-024-03215-z	Klughammer et al. (2024) Nat Med	HTAPP-330-SMP-1082 scRNA-seq
0895c838-e550-48a3-a777-dbcd35d30272	146	10.1002/hep4.1854	Andrews et al. (2022) Hepatol Commun	Healthy human liver: B cells
530c9bff-c552-45b9-be77-0de605e6858b	12351	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	Spatial transcriptomics in mouse: Puck_191109_14
fbd69faa-b0c5-45ba-89c9-da938a7f5a14	843	10.1038/s41586-024-07944-6	Yayon et al. (2024) Nature	thymus scRNA-seq atlas - myeloid p2 subset
fb83600a-7823-426e-b06b-1fcd666a3cd8	19156	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	Spatial transcriptomics in mouse: Puck_191109_18
00ff600e-6e2e-4d76-846f-0eec4f0ae417	363	10.1126/sciimmunol.abe6291	King et al. (2021) Sci. Immunol.	Human tonsil nonlymphoid cells scRNA
70fa6bd9-cc35-4779-9a05-fa8918c0ff8b	22659	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	Spatial transcriptomics in mouse: Puck_191109_19
1c224f30-a9c4-48c6-951d-8d86c0a2886e	16787	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	Spatial transcriptomics in mouse: Puck_191223_13
c233842b-9430-41b8-8ec6-4342428e43f3	499	10.1038/s41588-023-01435-6	Sampath Kumar et al. (2023) Nat Genet	mouse_trunkTbx6WT_KO
3483835a-fdd2-4589-8de3-530e2a13ad14	27814	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	Spatial transcriptomics in mouse: Puck_191204_18
ce19be17-f066-452f-922e-b1f232ce8af5	15592	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	Spatial transcriptomics in mouse: Puck_191109_10
c5ac9bb9-9597-4c0e-a985-1c3947288785	21181	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	Spatial transcriptomics in mouse: Puck_191112_07
72ed5f5b-e685-474d-b436-3bcc8c597e8e	13822	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	Spatial transcriptomics in mouse: Puck_191112_04
60d5175f-f477-48b2-8396-ad76be2c3310	4992	10.1016/j.labinv.2023.100258	Coutant et al. (2023) Laboratory Investigation	GSM6592057_M10
bdacc907-7c26-419f-8808-969eab3ca2e8	3799	10.1038/s41593-020-00764-7	Leng et al. (2021) Nat Neurosci	Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: SFG microglia
6c0f2e18-3793-4d90-88b5-12d9d6f0f4e2	703	10.1038/s41588-023-01435-6	Sampath Kumar et al. (2023) Nat Genet	E9.0: Puck_220718_02
b24705ee-87c0-45f2-adfb-2819fdc16225	25817	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	Spatial transcriptomics in mouse: Puck_200104_04
