#dataset_id	cell_count	collection_doi	collection_doi_label	dataset_title
e4ddac12-f48f-4455-8e8d-c2a48a683437	129495	10.1126/science.adf6812	Jorstad et al. (2023) Science	Supercluster: CGE-derived interneurons
f16f4108-7873-4035-9989-3748da1a7ff1	4720	10.1126/science.add7046	Siletti et al. (2023) Science	Supercluster: Committed oligodendrocyte precursor
470565f2-5afc-456a-b617-18e4496c04fd	4714	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Midbrain (RN) - Red Nucleus - RN
6dafb698-7a53-4699-ad13-1b5e2c164be7	5882	10.1126/science.add7046	Siletti et al. (2023) Science	Supercluster: Ependymal
0d7f4c06-a6bd-47d2-a42b-3a7196704f77	9932	10.1126/science.add7046	Siletti et al. (2023) Science	Supercluster: Vascular
531c9543-9093-45ed-93ac-ebc5815bfb8a	9156	10.1126/science.add7046	Siletti et al. (2023) Science	Supercluster: Fibroblast
f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181	6877	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - ventral posterior lateral nucleus - VPL
50dc91a1-36b6-472a-b884-7307b6961ab1	8041	10.1126/science.add7046	Siletti et al. (2023) Science	Supercluster: Bergmann glia
0ee5ae70-c3f5-473f-bd1c-287f4690ffc5	13623	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Myelencephalon (medulla oblongata) (Mo) - sensory relay nuclei in medulla oblongata - MoSR
a5b5d1f3-dd8b-44f6-a685-15f0f741c062	20162	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Thalamus (THM) - Subthalamic nucleus and nearby - STH
cfa755c1-48c5-4336-94f4-aa95eca4fbd5	7689	10.1126/science.add7046	Siletti et al. (2023) Science	Supercluster: Choroid plexus
8039c63d-08b0-4fc9-af0f-5b57f08ca0da	17535	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Perirhinal cortex (area 35) (A35) - rostral subdivision of area 35 - A35r
ed11cc3e-2947-407c-883c-c53b043917c3	8573	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Thalamus (THM) - Lateral nuclear complex (LNC) - ventral anterior nucleus of thalamus - VA
d5452b83-7c3d-4d7c-ab7a-c7fece7196c5	8077	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Body of hippocampus (HiB) - Rostral CA3
c5cfa2b7-abb1-4a50-908f-707b54ca606b	14094	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Midbrain (M) - Periaqueductal gray and Dorsal raphe nucleus - PAG-DR
364348b4-bc34-4fe1-a851-60d99e36cafa	12944	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Thalamus (THM) - intralaminar nuclear complex (ILN) - posterior group of intralaminar nuclei (PILN) - centromedian nucleus of thalamus - CM
1a018108-b4b6-457b-ba15-046d5e98c169	21534	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Myelencephalon (medulla oblongata) (Mo) - precerebellar nuclei (PrCbN) - inferior olive - IO
77044335-0ac5-4406-9b3f-8cdd3656d67b	23349	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Pons (Pn) - afferent nuclei of cranial nerves in pons - PnAN
adda0684-f8ea-4403-b393-2a25607077c4	14226	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - medial geniculate nuclei (MG)
00476f9f-ebc1-4b72-b541-32f912ce36ea	10099	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Hypothalamus (HTH) - mammillary region of HTH (HTHma)
ca20e2ac-5676-4158-b5d0-0c2b15898b19	33968	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Basal nuclei (BN) - Globus pallidus (GP) - Internal segment of globus pallidus - GPi
fbf173f9-f809-4d84-9b65-ae205d35b523	17660	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - lateral posterior nucleus of thalamus + ventral posterior lateral nucleus - LP + VPL
bd6b68e8-179a-42f0-9bde-b4fdf7d34dd1	14411	10.1126/science.add7046	Siletti et al. (2023) Science	Supercluster: Cerebellar inhibitory
090da8ea-46e8-40df-bffc-1f78e1538d27	24190	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Spinal cord - SpC
a59ba9fa-1407-4f15-8c56-d3637421570d	28028	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Cerebellum (CB) - Lateral hemisphere of cerebellum - CBL
03d38670-1444-4001-bc53-9936e61d9b20	20027	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Hypothalamus (HTH) - preoptic region of HTH - HTHpo (medial preoptic nucleus, MPN) - supraoptic region of HTH - HTHso (paraventricular nucleus, PV)
22658f4f-9268-41ad-8828-cc53f4baa9fa	12557	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Hypothalamus (HTH) - supraoptic region of HTH - HTHso
2a8ca8f3-5599-4cda-b973-3a2dfc3c1fe6	10778	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Amygdaloid complex (AMY) - Corticomedial nuclear group (CMN) - anterior cortical nucleus - CoA
381aa407-317a-40ef-8048-7ce0eacc4266	26172	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - lateral posterior nucleus of thalamus - LP
40569510-2282-461b-84df-6218ef208e0e	13173	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Hypothalamus (HTH) - tuberal region of hypothalamus - HTHtub
9ec335f2-420a-45a8-b45a-1ab646e50041	10654	10.1126/science.add7046	Siletti et al. (2023) Science	Supercluster: Hippocampal CA4
b8681124-aabf-4904-b9c9-66d834bf5bba	13382	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus + reuniens nucleus (medioventral nucleus) of thalamus - MD + Re
35c8a04c-8639-4d15-8228-765d8d93fc96	16753	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Hypothalamus (HTH) - supraoptic region of HTH - HTHso (anterior hypothalamic nucleus, AHN) - tuberal region of HTH - HTHtub (ventromedial and dorsomedial hypothalamic nucleic nuclei, VMH, DMH)
07b1d7c8-5c2e-42f7-9246-26f746cd6013	27210	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Myelencephalon (medulla oblongata) (Mo) - afferent nuclei of cranial nerves in medulla oblongata - MoAN
f20f44ef-a0d4-4d94-87de-037fd47141f0	18728	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Hypothalamus (HTH) - mammillary region of HTH (HTHma) - tuberal region of HTH - HTHtub
64767efb-49b0-4562-a1bd-e619a5d9db41	14979	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Hypothalamus (HTH) - preoptic region of HTH - HTHpo
c4dd26a8-d956-4bee-a233-44b573f2ce27	11265	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Body of hippocampus (HiB) - Rostral CA1-2
f9034091-2e8f-4ac6-9874-e7b7eb566824	23120	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Myelencephalon (medulla oblongata) (Mo) - medullary reticular formation (MoRF) & efferent nuclei of cranial nerves in the medulla oblongata (MoEN) - MoRF-MoEN
f3565fda-499a-4d20-bd92-563c09954c42	24155	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Pons (Pn) - Pontine reticular formation (PnRF) - parabrachial nuclei - PB
bac09168-940b-4b11-8d55-b4955f80b98d	12461	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Head of hippocampus (HiH) - Uncal CA2-CA3
7cd3c321-e487-4b51-a8af-9bf671b59fe5	26095	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Pons (Pn) - other nuclei in pontine tegmentum (XPnTg) - dorsal tegmental nucleus - DTg
c7856243-c59a-4b70-8ce7-25b94c2d9da1	14352	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Cerebral cortex (Cx) - Gyrus rectus (ReG) - Medial orbitofrontal cortex - A14
a7b4f565-691d-43ea-bf4a-d2d1d52bb4b4	27111	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Thalamus (THM) - Lateral nuclear complex of thalamus (LNC) - ventral group of lateral nucleus - VLN
35090826-f636-40c1-a3ef-4466beeab9f8	18856	10.1126/science.add7046	Siletti et al. (2023) Science	Supercluster: Deep-layer near-projecting
a84face4-eb30-4f43-994f-c6a13a097808	34078	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Cerebral cortex (Cx) - Cingulate gyrus, retrosplenial (CgGrs) - A29-A30
599504e5-d4ad-45bd-9128-823faf0fb9c9	16602	10.1126/science.add7046	Siletti et al. (2023) Science	Supercluster: Mammillary body
a4116666-d295-4443-a174-0acc283f92c4	29907	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Midbrain (M) - Superior colliculus and nearby nuclei - SC
4d43082e-59cd-43ac-b77d-54d55519c881	24808	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Cerebral cortex (Cx) - Rostral gyrus (RoG) - Dorsal division of MFC - A32
5a73f63f-18a2-49b5-b431-2c469c41a41b	20916	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD
9372df2d-13d6-4fac-980b-919a5b7eb483	33794	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Midbrain (M) - Periaqueductal gray and nearby nuclei - PAG
095940cb-7422-4510-96e2-cbafd961eb88	52045	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Cerebellum (CB) - Cerebellar deep nuclei - CbDN
93131426-0124-4ab4-a013-9dfbcd99d467	24327	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Epithalamus - ETH
d6a5b240-cc8f-45c1-ad36-2fc291e15e8e	25875	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Midbrain (M) - Pretectal region - PTR
59923449-e303-43e6-9e63-03ef92f5ebd1	25071	10.1126/science.add7046	Siletti et al. (2023) Science	Supercluster: Miscellaneous
7d3ab174-e433-40fc-a352-6fe71b1a19f9	28984	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Amygdaloid complex (AMY) - Basolateral nuclear group (BLN) - lateral nucleus - La
4724c395-0c46-46d2-81f7-60fd271fb488	35350	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Head of hippocampus (HiH) - Uncal DG-CA4
5e5ab909-f73f-4b57-98a0-6d2c5662f6a4	32306	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Midbrain (M) - Inferior colliculus and nearby nuclei - IC
dd03ce70-3243-4c96-9561-330cc461e4d7	23732	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Cerebral cortex (Cx) - Perirhinal gyrus (PRG) - A35-A36
ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded	28051	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Cerebral cortex (Cx) - Cuneus, rostral part - Area Prostriata - Pro
700aed19-c16e-4ba8-9191-07da098a8626	91838	10.1126/science.add7046	Siletti et al. (2023) Science	Supercluster: Microglia
367b55f4-d543-49aa-90e8-4765fcb8c687	24354	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Thalamus (THM) - intralaminar nuclear complex (ILN) - posterior group of intralaminar nuclei (PILN) - centromedian and parafasicular nuclei - CM and Pf
182f6a56-7360-4924-a74e-1772e07b3031	28724	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Body of hippocampus (HiB) - Rostral CA1-CA3
fa554686-fc07-44dd-b2de-b726d82d26ec	29674	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Cerebral cortex (Cx) - Superior occipital gyrus (SOG) - Areas 19 and MT - A19
e5b1115b-a486-49bb-bda3-8261822836e0	35359	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Cerebral cortex (Cx) - Caudal cingulate gyrus (CgGC) - A23
64f4ad90-a422-400a-944d-4ce0f39594a7	33641	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Pons (Pn) - Pontine Nucleus - PN
1cf24082-59de-4029-ac81-6e398768af3a	29522	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Cerebral cortex (Cx) - Inferior temporal gyrus - ITG
db1d2c1b-2ee1-45d5-9d53-69a327cd77e6	31065	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46
f8dda921-5fb4-4c94-a654-c6fc346bfd6d	31899	10.1126/science.add7046	Siletti et al. (2023) Science	Dissection: Cerebral cortex (Cx) - Occipitotemporal (fusiform) gyrus, temporal part (FuGt) - Temporal area TF
